6496,197,20,2.958
6496,197,21,1.443
6496,197,22,0.131
6496,197,24,0.144
6496,197,25,0.208
6496,197,26,0.202
6496,197,23,0.135
6496,197,28,0.36
6496,197,29,0.125
6496,197,30,0.131
6496,197,31,1.675
6496,197,32,0.653
6496,197,33,0.178
6496,197,34,0.129
6496,197,35,0.154
6496,197,36,0.538
6496,197,37,3.55
6496,197,38,0.62
6496,197,39,1.881
6496,197,40,1.381
6496,197,41,0.327
6496,197,42,0.413
6496,197,43,0.327
6496,197,44,0.577
6496,197,45,1.504
6496,197,46,0.79
6496,197,47,0.688
6496,197,48,0.41
6496,198,01,0.197
6496,198,02,0.122
6496,198,03,0.198
6496,198,04,0.144
6496,198,05,0.152
6496,198,06,0.171
6496,198,07,0.109
6496,198,08,0.172
6496,198,09,0.119
6496,198,10,0.161
6496,198,11,0.161
6496,198,12,1.84
6496,198,13,1.355
6496,198,14,0.117
6496,198,15,0.175
6496,198,16,0.18
6496,198,17,0.784
6496,198,18,1.418
6496,198,19,0.556
6496,198,20,3.824
6496,198,21,1.22
6496,198,22,0.232
6496,198,23,1.118
6496,198,24,1.094
6496,198,25,2.922
6496,198,26,0.868
6496,198,27,1.249
6496,198,28,0.132
6496,198,29,0.196
6496,198,30,0.13
6496,198,31,1.717
6496,198,32,1.641
6496,198,33,0.272
6496,198,34,0.237
6496,198,35,0.268
6496,198,36,0.234
6496,198,37,0.24
6496,198,38,3.19
6496,198,39,2.222
6496,198,40,1.72
6496,198,41,0.838
6496,198,42,2.089
6496,198,43,0.363
6496,198,44,1.067
6496,198,45,1.31
6496,198,46,0.573
6496,198,47,0.563
6496,198,48,0.325
6496,199,01,0.306
6496,199,02,0.352
6496,199,03,0.182
6496,199,04,0.225
6496,199,05,0.193
6496,199,06,0.144
6496,199,07,0.225
6496,199,08,0.171
6496,199,09,0.167
6496,199,10,0.168
6496,199,11,0.111
6496,199,12,1.814
6496,199,13,2.23
6496,199,14,0.16
6496,199,15,0.147
6496,199,16,0.11
6496,199,17,0.254
6496,199,18,0.184
6496,199,19,0.443
6496,199,20,1.218
6496,199,21,0.174
6496,199,22,0.14
6496,199,23,0.182
6496,199,24,0.356
6496,199,25,1.126
6496,199,26,0.449
6496,199,27,1.078
6496,199,28,0.678
6496,199,29,0.321
6496,199,30,0.247
6496,199,31,1.761
6496,199,32,1.696
6496,199,33,0.169
6496,199,34,0.134
6496,199,35,0.145
6496,199,36,0.129
6496,199,37,0.141
6496,199,38,0.153
6496,199,39,0.157
6496,199,40,0.157
6496,199,41,0.131
6496,199,42,0.26
6496,199,43,0.174
6496,199,44,0.237
6496,199,45,0.161
6496,199,46,0.199
6496,199,47,1.97
6496,199,48,2.655
6496,200,01,2.969
6496,200,02,2.103
6496,200,03,1.344
6496,197,27,0.203
6496,200,05,0.197
6496,200,06,0.197
6496,200,07,0.192
6496,200,08,0.193
6496,200,09,0.171
6496,200,10,0.112
6496,200,11,0.163
6496,200,12,1.77
6496,200,13,1.747
6496,200,14,0.148
6496,200,15,0.139
6496,200,16,0.138
6496,200,17,0.152
6496,200,18,0.114
6496,200,19,0.388
6496,200,20,0.431
6496,200,21,0.265
6496,200,22,0.775
6496,200,23,1.455
6496,200,24,0.566
6496,200,25,0.44
